mat|1|1|	Βιβλος γενεσεως Ιησου Χριστου, υιου Δαυιδ υιου Αβρααμ.	biblos geneseōs iēsou christou, uiou dauid uiou abraam.
mat|2|22|	ακουσας δε οτι Αρχελαος βασιλευει επι της Ιουδαιας αντι Ηρωδου του πατρος αυτου, εφοβηθη εκει απελθειν χρηματισθεις δε κατ οναρ ανεχωρησεν εις τα μερη της Γαλιλαιας,	akousas de oti archelaos basileuei epi tēs ioudaias anti ērōdou tou patros autou, ephobēthē ekei apelthein chrēmatistheis de kat onar anechōrēsen eis ta merē tēs galilaias,
mat|2|23|	και ελθων κατωκησεν εις πολιν λεγομενην Ναζαρετ, οπως πληρωθη το ρηθεν δια των προφητων οτι Ναζωραιος κληθησεται.	kai elthōn katōkēsen eis polin legomenēn nazaret, opōs plērōthē to rēthen dia tōn prophētōn oti nazōraios klēthēsetai.
mat|3|1|	Εν δε ταις ημεραις εκειναις παραγινεται Ιωαννης ο βαπτιστης κηρυσσων εν τη ερημω της Ιουδαιας	en de tais ēmerais ekeinais paraginetai iōannēs o baptistēs kērussōn en tē erēmō tēs ioudaias
mat|3|2|	και λεγων μετανοειτε ηγγικε γαρ η βασιλεια των ουρανων.	kai legōn metanoeite ēggike gar ē basileia tōn ouranōn.
mat|3|3|	ουτος γαρ εστιν ο ρηθεις υπο Ησαιου του προφητου λεγοντος φωνη βοωντος εν τη ερημω, ετοιμασατε την οδον Κυριου, ευθειας ποιειτε τας τριβους αυτου.	outos gar estin o rētheis upo ēsaiou tou prophētou legontos phōnē boōntos en tē erēmō, etoimasate tēn odon kuriou, eutheias poieite tas tribous autou.
mat|3|4|	Αυτος δε ο Ιωαννης ειχε το ενδυμα αυτου απο τριχων καμηλου και ζωνην δερματινην περι την οσφυν αυτου, η δε τροφη αυτου ην ακριδες και μελι αγριον.	autos de o iōannēs eiche to enduma autou apo trichōn kamēlou kai zōnēn dermatinēn peri tēn osphun autou, ē de trophē autou ēn akrides kai meli agrion.
mat|3|5|	Τοτε εξεπορευετο προς αυτον Ιεροσολυμα και πασα η Ιουδαια και πασα η περιχωρος του Ιορδανου,	tote exeporeueto pros auton ierosoluma kai pasa ē ioudaia kai pasa ē perichōros tou iordanou,
mat|3|6|	και εβαπτιζοντο εν τω Ιορδανη υπ αυτου εξομολογουμενοι τας αμαρτιας αυτων.	kai ebaptizonto en tō iordanē up autou exomologoumenoi tas amartias autōn.
mat|3|7|	ιδων δε πολλους των Φαρισαιων και Σαδδουκαιων ερχομενους επι το βαπτισμα αυτου ειπεν αυτοις γεννηματα εχιδνων, τις υπεδειξεν υμιν φυγειν απο της μελλουσης οργης?	idōn de pollous tōn pharisaiōn kai saddoukaiōn erchomenous epi to baptisma autou eipen autois gennēmata echidnōn, tis upedeixen umin phugein apo tēs mellousēs orgēs?
mat|3|8|	ποιησατε ουν καρπον αξιον της μετανοιας,	poiēsate oun karpon axion tēs metanoias,
mat|3|9|	και μη δοξητε λεγειν εν εαυτοις, πατερα εχομεν τον Αβρααμ λεγω γαρ υμιν οτι δυναται ο Θεος εκ των λιθων τουτων εγειραι τεκνα τω Αβρααμ.	kai mē doxēte legein en eautois, patera echomen ton abraam legō gar umin oti dunatai o theos ek tōn lithōn toutōn egeirai tekna tō abraam.
mat|3|10|	ηδη δε και η αξινη προς την ριζαν των δενδρων κειται παν ουν δενδρον μη ποιουν καρπον καλον εκκοπτεται και εις πυρ βαλλεται.	ēdē de kai ē axinē pros tēn rizan tōn dendrōn keitai pan oun dendron mē poioun karpon kalon ekkoptetai kai eis pur balletai.
mat|3|11|	εγω μεν βαπτιζω υμας εν υδατι εις μετανοιαν ο δε οπισω μου ερχομενος ισχυροτερος μου εστιν, ου ουκ ειμι ικανος τα υποδηματα βαστασαι αυτος υμας βαπτισει εν Πνευματι Αγιω και πυρι.	egō men baptizō umas en udati eis metanoian o de opisō mou erchomenos ischuroteros mou estin, ou ouk eimi ikanos ta upodēmata bastasai autos umas baptisei en pneumati agiō kai puri.
mat|3|12|	ου το πτυον εν τη χειρι αυτου και διακαθαριει την αλωνα αυτου, και συναξει τον σιτον αυτου εις την αποθηκην, το δε αχυρον κατακαυσει πυρι ασβεστω.	ou to ptuon en tē cheiri autou kai diakathariei tēn alōna autou, kai sunaxei ton siton autou eis tēn apothēkēn, to de achuron katakausei puri asbestō.
mat|3|13|	Τοτε παραγινεται ο Ιησους απο της Γαλιλαιας επι τον Ιορδανην προς τον Ιωαννην του βαπτισθηναι υπ αυτου.	tote paraginetai o iēsous apo tēs galilaias epi ton iordanēn pros ton iōannēn tou baptisthēnai up autou.
mat|3|14|	ο δε Ιωαννης διεκωλυεν αυτον λεγων εγω χρειαν εχω υπο σου βαπτισθηναι, και συ ερχη προς με?	o de iōannēs diekōluen auton legōn egō chreian echō upo sou baptisthēnai, kai su erchē pros me?
mat|3|15|	αποκριθεις δε ο Ιησους ειπε προς αυτον αφες αρτι ουτω γαρ πρεπον εστιν ημιν πληρωσαι πασαν δικαιοσυνην. τοτε αφιησιν αυτον	apokritheis de o iēsous eipe pros auton aphes arti outō gar prepon estin ēmin plērōsai pasan dikaiosunēn. tote aphiēsin auton
mat|3|16|	και βαπτισθεις ο Ιησους ανεβη ευθυς απο του υδατος και ιδου ανεωχθησαν αυτω οι ουρανοι, και ειδε το Πνευμα του Θεου καταβαινον ωσει περιστεραν και ερχομενον επ αυτον	kai baptistheis o iēsous anebē euthus apo tou udatos kai idou aneōchthēsan autō oi ouranoi, kai eide to pneuma tou theou katabainon ōsei peristeran kai erchomenon ep auton
mat|3|17|	και ιδου φωνη εκ των ουρανων λεγουσα ουτος εστιν ο υιος μου ο αγαπητος, εν ω ευδοκησα.	kai idou phōnē ek tōn ouranōn legousa outos estin o uios mou o agapētos, en ō eudokēsa.
mat|4|1|	Τοτε ο Ιησους ανηχθη εις την ερημον υπο του Πνευματος πειρασθηναι υπο του διαβολου,	tote o iēsous anēchthē eis tēn erēmon upo tou pneumatos peirasthēnai upo tou diabolou,
mat|4|2|	και νηστευσας ημερας τεσσαρακοντα και νυκτας τεσσαρακοντα υστερον επεινασε.	kai nēsteusas ēmeras tessarakonta kai nuktas tessarakonta usteron epeinase.
mat|4|3|	και προσελθων αυτω ο πειραζων ειπεν ει υιος ει του Θεου, ειπε ινα οι λιθοι ουτοι αρτοι γενωνται.	kai proselthōn autō o peirazōn eipen ei uios ei tou theou, eipe ina oi lithoi outoi artoi genōntai.
mat|4|4|	ο δε αποκριθεις ειπε γεγραπται, ουκ επ αρτω μονω ζησεται ανθρωπος, αλλ επι παντι ρηματι εκπορευομενω δια στοματος Θεου.	o de apokritheis eipe gegraptai, ouk ep artō monō zēsetai anthrōpos, all epi panti rēmati ekporeuomenō dia stomatos theou.
mat|4|5|	Τοτε παραλαμβανει αυτον ο διαβολος εις την αγιαν πολιν, και ιστησιν αυτον επι το πτερυγιον του ιερου	tote paralambanei auton o diabolos eis tēn agian polin, kai istēsin auton epi to pterugion tou ierou
mat|4|6|	και λεγει αυτω ει υιος ει του Θεου, βαλε σεαυτον κατω γεγραπται γαρ οτι τοις αγγελοις αυτου εντελειται περι σου, και επι χειρων αρουσι σε, μηποτε προσκοψης προς λιθον τον ποδα σου.	kai legei autō ei uios ei tou theou, bale seauton katō gegraptai gar oti tois aggelois autou enteleitai peri sou, kai epi cheirōn arousi se, mēpote proskopsēs pros lithon ton poda sou.
mat|4|7|	εφη αυτω ο Ιησους παλιν γεγραπται, ουκ εκπειρασεις Κυριον τον Θεον σου.	ephē autō o iēsous palin gegraptai, ouk ekpeiraseis kurion ton theon sou.
mat|4|8|	Παλιν παραλαμβανει αυτον ο διαβολος εις ορος υψηλον λιαν, και δεικνυσιν αυτω πασας τας βασιλειας του κοσμου και την δοξαν αυτων	palin paralambanei auton o diabolos eis oros upsēlon lian, kai deiknusin autō pasas tas basileias tou kosmou kai tēn doxan autōn
mat|4|9|	και λεγει αυτω ταυτα παντα σοι δωσω, εαν πεσων προσκυνησης μοι.	kai legei autō tauta panta soi dōsō, ean pesōn proskunēsēs moi.
mat|4|10|	τοτε λεγει αυτω ο Ιησους υπαγε οπισω μου, σατανα γεγραπται γαρ, Κυριον τον Θεον σου προσκυνησεις και αυτω μονω λατρευσεις.	tote legei autō o iēsous upage opisō mou, satana gegraptai gar, kurion ton theon sou proskunēseis kai autō monō latreuseis.
mat|4|11|	Τοτε αφιησιν αυτον ο διαβολος, και ιδου αγγελοι προσηλθον και διηκονουν αυτω.	tote aphiēsin auton o diabolos, kai idou aggeloi prosēlthon kai diēkonoun autō.
mat|4|12|	Ακουσας δε ο Ιησους οτι Ιωαννης παρεδοθη, ανεχωρησεν εις την Γαλιλαιαν,	akousas de o iēsous oti iōannēs paredothē, anechōrēsen eis tēn galilaian,
mat|4|13|	και καταλιπων την Ναζαρετ ελθων κατωκησεν εις Καπερναουμ την παραθαλασσιαν εν οριοις Ζαβουλων και Νεφθαλειμ,	kai katalipōn tēn nazaret elthōn katōkēsen eis kapernaoum tēn parathalassian en oriois zaboulōn kai nephthaleim,
mat|4|14|	ινα πληρωθη το ρηθεν δια Ησαιου του προφητου λεγοντος	ina plērōthē to rēthen dia ēsaiou tou prophētou legontos
mat|4|15|	γη Ζαβουλων και γη Νεφθαλειμ, οδον θαλασσης, περαν του Ιορδανου, Γαλιλαια των εθνων,	gē zaboulōn kai gē nephthaleim, odon thalassēs, peran tou iordanou, galilaia tōn ethnōn,
mat|4|16|	ο λαος ο καθημενος εν σκοτει ειδε φως μεγα, και τοις καθημενοις εν χωρα και σκια θανατου φως ανετειλεν αυτοις.	o laos o kathēmenos en skotei eide phōs mega, kai tois kathēmenois en chōra kai skia thanatou phōs aneteilen autois.
mat|4|17|	Απο τοτε ηρξατο ο Ιησους κηρυσσειν και λεγειν μετανοειτε ηγγικε γαρ η βασιλεια των ουρανων.	apo tote ērxato o iēsous kērussein kai legein metanoeite ēggike gar ē basileia tōn ouranōn.
mat|4|18|	Περιπατων δε παρα την θαλασσαν της Γαλιλαιας ειδε δυο αδελφους, Σιμωνα τον λεγομενον Πετρον και Ανδρεαν τον αδελφον αυτου, βαλλοντας αμφιβληστρον εις την θαλασσαν ησαν γαρ αλιεις	peripatōn de para tēn thalassan tēs galilaias eide duo adelphous, simōna ton legomenon petron kai andrean ton adelphon autou, ballontas amphiblēstron eis tēn thalassan ēsan gar alieis
mat|4|19|	και λεγει αυτοις δευτε οπισω μου και ποιησω υμας αλιεις ανθρωπων.	kai legei autois deute opisō mou kai poiēsō umas alieis anthrōpōn.
mat|4|20|	οι δε ευθεως αφεντες τα δικτυα ηκολουθησαν αυτω.	oi de eutheōs aphentes ta diktua ēkolouthēsan autō.
mat|4|21|	Και προβας εκειθεν ειδεν αλλους δυο αδελφους, Ιακωβον τον του Ζεβεδαιου και Ιωαννην τον αδελφον αυτου, εν τω πλοιω μετα Ζεβεδαιου του πατρος αυτων καταρτιζοντας τα δικτυα αυτων, και εκαλεσεν αυτους.	kai probas ekeithen eiden allous duo adelphous, iakōbon ton tou zebedaiou kai iōannēn ton adelphon autou, en tō ploiō meta zebedaiou tou patros autōn katartizontas ta diktua autōn, kai ekalesen autous.
mat|4|22|	οι δε ευθεως αφεντες το πλοιον και τον πατερα αυτων ηκολουθησαν αυτω.	oi de eutheōs aphentes to ploion kai ton patera autōn ēkolouthēsan autō.
mat|4|23|	Και περιηγεν ολην την Γαλιλαιαν ο Ιησους διδασκων εν ταις συναγωγαις αυτων και κηρυσσων το ευαγγελιον της βασιλειας και θεραπευων πασαν νοσον και πασαν μαλακιαν εν τω λαω.	kai periēgen olēn tēn galilaian o iēsous didaskōn en tais sunagōgais autōn kai kērussōn to euaggelion tēs basileias kai therapeuōn pasan noson kai pasan malakian en tō laō.
mat|4|24|	και απηλθεν η ακοη αυτου εις ολην την Συριαν, και προσηνεγκαν αυτω παντας τους κακως εχοντας ποικιλαις νοσοις και βασανοις συνεχομενους, και δαιμονιζομενους και σεληνιαζομενους και παραλυτικους, και εθεραπευσεν αυτους	kai apēlthen ē akoē autou eis olēn tēn surian, kai prosēnegkan autō pantas tous kakōs echontas poikilais nosois kai basanois sunechomenous, kai daimonizomenous kai selēniazomenous kai paralutikous, kai etherapeusen autous
mat|4|25|	και ηκολουθησαν αυτω οχλοι πολλοι απο της Γαλιλαιας και Δεκαπολεως και Ιεροσολυμων και Ιουδαιας και περαν του Ιορδανου.	kai ēkolouthēsan autō ochloi polloi apo tēs galilaias kai dekapoleōs kai ierosolumōn kai ioudaias kai peran tou iordanou.
mat|5|1|	Ιδων δε τους οχλους ανεβη εις το ορος, και καθισαντος αυτου προσηλθον αυτω οι μαθηται αυτου,	idōn de tous ochlous anebē eis to oros, kai kathisantos autou prosēlthon autō oi mathētai autou,
mat|5|2|	και ανοιξας το στομα αυτου εδιδασκεν αυτους λεγων	kai anoixas to stoma autou edidasken autous legōn
mat|5|3|	μακαριοι οι πτωχοι τω πνευματι, οτι αυτων εστιν η βασιλεια των ουρανων.	makarioi oi ptōchoi tō pneumati, oti autōn estin ē basileia tōn ouranōn.
mat|5|4|	μακαριοι οι πενθουντες, οτι αυτοι παρακληθησονται.	makarioi oi penthountes, oti autoi paraklēthēsontai.
mat|5|5|	μακαριοι οι πραεις, οτι αυτοι κληρονομησουσι την γην.	makarioi oi praeis, oti autoi klēronomēsousi tēn gēn.
mat|5|6|	μακαριοι οι πεινωντες και διψωντες την δικαιοσυνην, οτι αυτοι χορτασθησονται.	makarioi oi peinōntes kai dipsōntes tēn dikaiosunēn, oti autoi chortasthēsontai.
mat|5|7|	μακαριοι οι ελεημονες, οτι αυτοι ελεηθησονται.	makarioi oi eleēmones, oti autoi eleēthēsontai.
mat|5|8|	μακαριοι οι καθαροι τη καρδια, οτι αυτοι τον Θεον οψονται.	makarioi oi katharoi tē kardia, oti autoi ton theon opsontai.
mat|5|9|	μακαριοι οι ειρηνοποιοι, οτι αυτοι υιοι Θεου κληθησονται.	makarioi oi eirēnopoioi, oti autoi uioi theou klēthēsontai.
mat|5|10|	μακαριοι οι δεδιωγμενοι ενεκεν δικαιοσυνης, οτι αυτων εστιν η βασιλεια των ουρανων.	makarioi oi dediōgmenoi eneken dikaiosunēs, oti autōn estin ē basileia tōn ouranōn.
