mat|1|1|	Βιβλος γενεσεως Ιησου Χριστου, υιου Δαυιδ υιου Αβρααμ.
mat|2|6|	και συ Βηθλεεμ, γη Ιουδα, ουδαμως ελαχιστη ει εν τοις ηγεμοσιν Ιουδα εκ σου γαρ εξελευσεται ηγουμενος, οστις ποιμανει τον λαον μου τον Ισραηλ.
mat|2|7|	Τοτε Ηρωδης λαθρα καλεσας τους μαγους ηκριβωσε παρ αυτων τον χρονον του φαινομενου αστερος,
mat|2|8|	και πεμψας αυτους εις Βηθλεεμ ειπε πορευθεντες ακριβως εξετασατε περι του παιδιου, επαν δε ευρητε, απαγγειλατε μοι, οπως καγω ελθων προσκυνησω αυτω.
mat|2|9|	οι δε ακουσαντες του βασιλεως επορευθησαν και ιδου ο αστηρ ον ειδον εν τη ανατολη προηγεν αυτους, εως ελθων εστη επανω ου ην το παιδιον
mat|2|10|	ιδοντες δε τον αστερα εχαρησαν χαραν μεγαλην σφοδρα,
mat|2|11|	και ελθοντες εις την οικιαν ειδον το παιδιον μετα Μαριας της μητρος αυτου, και πεσοντες προσεκυνησαν αυτω, και ανοιξαντες τους θησαυρους αυτων προσηνεγκαν αυτω δωρα, χρυσον και λιβανον και σμυρναν
mat|2|12|	και χρηματισθεντες κατ οναρ μη ανακαμψαι προς Ηρωδην, δι αλλης οδου ανεχωρησαν εις την χωραν αυτων.
mat|2|13|	Αναχωρησαντων δε αυτων ιδου αγγελος Κυριου φαινεται κατ οναρ τω Ιωσηφ λεγων εγερθεις παραλαβε το παιδιον και την μητερα αυτου και φευγε εις Αιγυπτον, και ισθι εκει εως αν ειπω σοι μελλει γαρ Ηρωδης ζητειν το παιδιον του απολεσαι αυτο.
mat|2|14|	Ο δε εγερθεις παρελαβε το παιδιον και την μητερα αυτου νυκτος και ανεχωρησεν εις Αιγυπτον,
mat|2|15|	και ην εκει εως της τελευτης Ηρωδου, ινα πληρωθη το ρηθεν υπο του Κυριου δια του προφητου λεγοντος εξ Αιγυπτου εκαλεσα τον υιον μου.
mat|2|16|	Τοτε Ηρωδης ιδων οτι ενεπαιχθη υπο των μαγων, εθυμωθη λιαν, και αποστειλας ανειλε παντας τους παιδας τους εν Βηθλεεμ και εν πασι τοις οριοις αυτης απο διετους και κατωτερω, κατα τον χρονον ον ηκριβωσε παρα των μαγων.
mat|2|17|	τοτε επληρωθη το ρηθεν υπο Ιερεμιου του προφητου λεγοντος
mat|2|18|	φωνη εν Ραμα ηκουσθη, θρηνος και κλαυθμος και οδυρμος πολυς Ραχηλ κλαιουσα τα τεκνα αυτης, και ουκ ηθελε παρακληθηναι, οτι ουκ εισιν.
mat|2|19|	Τελευτησαντος δε του Ηρωδου ιδου αγγελος Κυριου κατ οναρ φαινεται τω Ιωσηφ εν Αιγυπτω
mat|2|20|	λεγων εγερθεις παραλαβε το παιδιον και την μητερα αυτου και πορευου εις γην Ισραηλ τεθνηκασι γαρ οι ζητουντες την ψυχην του παιδιου.
mat|2|21|	ο δε εγερθεις παρελαβε το παιδιον και την μητερα αυτου και ηλθεν εις γην Ισραηλ.
mat|2|22|	ακουσας δε οτι Αρχελαος βασιλευει επι της Ιουδαιας αντι Ηρωδου του πατρος αυτου, εφοβηθη εκει απελθειν χρηματισθεις δε κατ οναρ ανεχωρησεν εις τα μερη της Γαλιλαιας,
mat|2|23|	και ελθων κατωκησεν εις πολιν λεγομενην Ναζαρετ, οπως πληρωθη το ρηθεν δια των προφητων οτι Ναζωραιος κληθησεται.
mat|3|1|	Εν δε ταις ημεραις εκειναις παραγινεται Ιωαννης ο βαπτιστης κηρυσσων εν τη ερημω της Ιουδαιας
mat|3|2|	και λεγων μετανοειτε ηγγικε γαρ η βασιλεια των ουρανων.
mat|3|3|	ουτος γαρ εστιν ο ρηθεις υπο Ησαιου του προφητου λεγοντος φωνη βοωντος εν τη ερημω, ετοιμασατε την οδον Κυριου, ευθειας ποιειτε τας τριβους αυτου.
mat|3|4|	Αυτος δε ο Ιωαννης ειχε το ενδυμα αυτου απο τριχων καμηλου και ζωνην δερματινην περι την οσφυν αυτου, η δε τροφη αυτου ην ακριδες και μελι αγριον.
mat|3|5|	Τοτε εξεπορευετο προς αυτον Ιεροσολυμα και πασα η Ιουδαια και πασα η περιχωρος του Ιορδανου,
mat|3|6|	και εβαπτιζοντο εν τω Ιορδανη υπ αυτου εξομολογουμενοι τας αμαρτιας αυτων.
mat|3|7|	ιδων δε πολλους των Φαρισαιων και Σαδδουκαιων ερχομενους επι το βαπτισμα αυτου ειπεν αυτοις γεννηματα εχιδνων, τις υπεδειξεν υμιν φυγειν απο της μελλουσης οργης?
mat|3|8|	ποιησατε ουν καρπον αξιον της μετανοιας,
mat|3|9|	και μη δοξητε λεγειν εν εαυτοις, πατερα εχομεν τον Αβρααμ λεγω γαρ υμιν οτι δυναται ο Θεος εκ των λιθων τουτων εγειραι τεκνα τω Αβρααμ.
mat|3|10|	ηδη δε και η αξινη προς την ριζαν των δενδρων κειται παν ουν δενδρον μη ποιουν καρπον καλον εκκοπτεται και εις πυρ βαλλεται.
mat|3|11|	εγω μεν βαπτιζω υμας εν υδατι εις μετανοιαν ο δε οπισω μου ερχομενος ισχυροτερος μου εστιν, ου ουκ ειμι ικανος τα υποδηματα βαστασαι αυτος υμας βαπτισει εν Πνευματι Αγιω και πυρι.
mat|3|12|	ου το πτυον εν τη χειρι αυτου και διακαθαριει την αλωνα αυτου, και συναξει τον σιτον αυτου εις την αποθηκην, το δε αχυρον κατακαυσει πυρι ασβεστω.
mat|3|13|	Τοτε παραγινεται ο Ιησους απο της Γαλιλαιας επι τον Ιορδανην προς τον Ιωαννην του βαπτισθηναι υπ αυτου.
mat|3|14|	ο δε Ιωαννης διεκωλυεν αυτον λεγων εγω χρειαν εχω υπο σου βαπτισθηναι, και συ ερχη προς με?
mat|3|15|	αποκριθεις δε ο Ιησους ειπε προς αυτον αφες αρτι ουτω γαρ πρεπον εστιν ημιν πληρωσαι πασαν δικαιοσυνην. τοτε αφιησιν αυτον
mat|3|16|	και βαπτισθεις ο Ιησους ανεβη ευθυς απο του υδατος και ιδου ανεωχθησαν αυτω οι ουρανοι, και ειδε το Πνευμα του Θεου καταβαινον ωσει περιστεραν και ερχομενον επ αυτον
mat|3|17|	και ιδου φωνη εκ των ουρανων λεγουσα ουτος εστιν ο υιος μου ο αγαπητος, εν ω ευδοκησα.
mat|4|1|	Τοτε ο Ιησους ανηχθη εις την ερημον υπο του Πνευματος πειρασθηναι υπο του διαβολου,
mat|4|2|	και νηστευσας ημερας τεσσαρακοντα και νυκτας τεσσαρακοντα υστερον επεινασε.
mat|4|3|	και προσελθων αυτω ο πειραζων ειπεν ει υιος ει του Θεου, ειπε ινα οι λιθοι ουτοι αρτοι γενωνται.
mat|4|4|	ο δε αποκριθεις ειπε γεγραπται, ουκ επ αρτω μονω ζησεται ανθρωπος, αλλ επι παντι ρηματι εκπορευομενω δια στοματος Θεου.
mat|4|5|	Τοτε παραλαμβανει αυτον ο διαβολος εις την αγιαν πολιν, και ιστησιν αυτον επι το πτερυγιον του ιερου
mat|4|6|	και λεγει αυτω ει υιος ει του Θεου, βαλε σεαυτον κατω γεγραπται γαρ οτι τοις αγγελοις αυτου εντελειται περι σου, και επι χειρων αρουσι σε, μηποτε προσκοψης προς λιθον τον ποδα σου.
mat|4|7|	εφη αυτω ο Ιησους παλιν γεγραπται, ουκ εκπειρασεις Κυριον τον Θεον σου.
mat|4|8|	Παλιν παραλαμβανει αυτον ο διαβολος εις ορος υψηλον λιαν, και δεικνυσιν αυτω πασας τας βασιλειας του κοσμου και την δοξαν αυτων
mat|4|9|	και λεγει αυτω ταυτα παντα σοι δωσω, εαν πεσων προσκυνησης μοι.
mat|4|10|	τοτε λεγει αυτω ο Ιησους υπαγε οπισω μου, σατανα γεγραπται γαρ, Κυριον τον Θεον σου προσκυνησεις και αυτω μονω λατρευσεις.
mat|4|11|	Τοτε αφιησιν αυτον ο διαβολος, και ιδου αγγελοι προσηλθον και διηκονουν αυτω.
mat|4|12|	Ακουσας δε ο Ιησους οτι Ιωαννης παρεδοθη, ανεχωρησεν εις την Γαλιλαιαν,
mat|4|13|	και καταλιπων την Ναζαρετ ελθων κατωκησεν εις Καπερναουμ την παραθαλασσιαν εν οριοις Ζαβουλων και Νεφθαλειμ,
mat|4|14|	ινα πληρωθη το ρηθεν δια Ησαιου του προφητου λεγοντος
mat|4|15|	γη Ζαβουλων και γη Νεφθαλειμ, οδον θαλασσης, περαν του Ιορδανου, Γαλιλαια των εθνων,
mat|4|16|	ο λαος ο καθημενος εν σκοτει ειδε φως μεγα, και τοις καθημενοις εν χωρα και σκια θανατου φως ανετειλεν αυτοις.
mat|4|17|	Απο τοτε ηρξατο ο Ιησους κηρυσσειν και λεγειν μετανοειτε ηγγικε γαρ η βασιλεια των ουρανων.
mat|4|18|	Περιπατων δε παρα την θαλασσαν της Γαλιλαιας ειδε δυο αδελφους, Σιμωνα τον λεγομενον Πετρον και Ανδρεαν τον αδελφον αυτου, βαλλοντας αμφιβληστρον εις την θαλασσαν ησαν γαρ αλιεις
mat|4|19|	και λεγει αυτοις δευτε οπισω μου και ποιησω υμας αλιεις ανθρωπων.
mat|4|20|	οι δε ευθεως αφεντες τα δικτυα ηκολουθησαν αυτω.
mat|4|21|	Και προβας εκειθεν ειδεν αλλους δυο αδελφους, Ιακωβον τον του Ζεβεδαιου και Ιωαννην τον αδελφον αυτου, εν τω πλοιω μετα Ζεβεδαιου του πατρος αυτων καταρτιζοντας τα δικτυα αυτων, και εκαλεσεν αυτους.
mat|4|22|	οι δε ευθεως αφεντες το πλοιον και τον πατερα αυτων ηκολουθησαν αυτω.
mat|4|23|	Και περιηγεν ολην την Γαλιλαιαν ο Ιησους διδασκων εν ταις συναγωγαις αυτων και κηρυσσων το ευαγγελιον της βασιλειας και θεραπευων πασαν νοσον και πασαν μαλακιαν εν τω λαω.
mat|4|24|	και απηλθεν η ακοη αυτου εις ολην την Συριαν, και προσηνεγκαν αυτω παντας τους κακως εχοντας ποικιλαις νοσοις και βασανοις συνεχομενους, και δαιμονιζομενους και σεληνιαζομενους και παραλυτικους, και εθεραπευσεν αυτους
mat|4|25|	και ηκολουθησαν αυτω οχλοι πολλοι απο της Γαλιλαιας και Δεκαπολεως και Ιεροσολυμων και Ιουδαιας και περαν του Ιορδανου.
mat|5|1|	Ιδων δε τους οχλους ανεβη εις το ορος, και καθισαντος αυτου προσηλθον αυτω οι μαθηται αυτου,
mat|5|2|	και ανοιξας το στομα αυτου εδιδασκεν αυτους λεγων
mat|5|3|	μακαριοι οι πτωχοι τω πνευματι, οτι αυτων εστιν η βασιλεια των ουρανων.
mat|5|4|	μακαριοι οι πενθουντες, οτι αυτοι παρακληθησονται.
mat|5|5|	μακαριοι οι πραεις, οτι αυτοι κληρονομησουσι την γην.
mat|5|6|	μακαριοι οι πεινωντες και διψωντες την δικαιοσυνην, οτι αυτοι χορτασθησονται.
mat|5|7|	μακαριοι οι ελεημονες, οτι αυτοι ελεηθησονται.
mat|5|8|	μακαριοι οι καθαροι τη καρδια, οτι αυτοι τον Θεον οψονται.
mat|5|9|	μακαριοι οι ειρηνοποιοι, οτι αυτοι υιοι Θεου κληθησονται.
mat|5|10|	μακαριοι οι δεδιωγμενοι ενεκεν δικαιοσυνης, οτι αυτων εστιν η βασιλεια των ουρανων.
mat|5|11|	μακαριοι εστε οταν ονειδισωσιν υμας και διωξωσι και ειπωσι παν πονηρον ρημα καθ υμων ψευδομενοι ενεκεν εμου.
mat|5|12|	χαιρετε και αγαλλιασθε, οτι ο μισθος υμων πολυς εν τοις ουρανοις ουτω γαρ εδιωξαν τους προφητας τους προ υμων.
mat|5|13|	Υμεις εστε το αλας της γης εαν δε το αλας μωρανθη, εν τινι αλισθησεται? εις ουδεν ισχυει ετι ει μη βληθηναι εξω και καταπατεισθαι υπο των ανθρωπων.
mat|5|14|	Υμεις εστε το φως του κοσμου. ου δυναται πολις κρυβηναι επανω ορους κειμενη
mat|5|15|	ουδε καιουσι λυχνον και τιθεασι αυτον υπο τον μοδιον, αλλ επι την λυχνιαν, και λαμπει πασι τοις εν τη οικια.
mat|5|16|	ουτω λαμψατω το φως υμων εμπροσθεν των ανθρωπων, οπως ιδωσιν υμων τα καλα εργα και δοξασωσι τον πατερα υμων τον εν τοις ουρανοις.
mat|5|17|	Μη νομισητε οτι ηλθον καταλυσαι τον νομον η τους προφητας ουκ ηλθον καταλυσαι, αλλα πληρωσαι.
mat|5|18|	αμην γαρ λεγω υμιν, εως αν παρελθη ο ουρανος και η γη, ιωτα εν η μια κεραια ου μη παρελθη απο του νομου εως αν παντα γενηται.
mat|5|19|	ος εαν ουν λυση μιαν των εντολων τουτων των ελαχιστων και διδαξη ουτω τους ανθρωπους, ελαχιστος κληθησεται εν τη βασιλεια των ουρανων ος δ αν ποιηση και διδαξη, ουτος μεγας κληθησεται εν τη βασιλεια των ουρανων.
mat|5|20|	λεγω γαρ υμιν οτι εαν μη περισσευση η δικαιοσυνη υμων πλειον των γραμματεων και Φαρισαιων, ου μη εισελθητε εις την βασιλειαν των ουρανων.
mat|5|21|	Ηκουσατε οτι ερρεθη τοις αρχαιοις, ου φονευσεις ος δ αν φονευση, ενοχος εσται τη κρισει.
mat|5|22|	Εγω δε λεγω υμιν οτι πας ο οργιζομενος τω αδελφω αυτου εικη ενοχος εσται τη κρισει ος δ αν ειπη τω αδελφω αυτου ρακα, ενοχος εσται τω συνεδριω ος δ αν ειπη μωρε, ενοχος εσται εις την γεενναν του πυρος.
mat|5|23|	Εαν ουν προσφερης το δωρον σου επι το θυσιαστηριον κακει μνησθης οτι ο αδελφος σου εχει τι κατα σου,
mat|5|24|	αφες εκει το δωρον σου εμπροσθεν του θυσιαστηριου, και υπαγε πρωτον διαλλαγηθι τω αδελφω σου, και τοτε ελθων προσφερε το δωρον σου.
mat|5|25|	Ισθι ευνοων τω αντιδικω σου ταχυ εως οτου ει εν τη οδω μετ αυτου, μηποτε σε παραδω ο αντιδικος τω κριτη και ο κριτης σε παραδω τω υπηρετη, και εις φυλακην βληθηση
mat|5|26|	αμην λεγω σοι, ου μη εξελθης εκειθεν εως ου αποδως τον εσχατον κοδραντην.
mat|5|27|	Ηκουσατε οτι ερρεθη τοις αρχαιοις, ου μοιχευσεις.
mat|5|28|	Εγω δε λεγω υμιν οτι πας ο βλεπων γυναικα προς το επιθυμησαι αυτην ηδη εμοιχευσεν αυτην εν τη καρδια αυτου.
mat|5|29|	ει δε ο οφθαλμος σου ο δεξιος σκανδαλιζει σε, εξελε αυτον και βαλε απο σου συμφερει γαρ σοι ινα αποληται εν των μελων σου και μη ολον το σωμα σου βληθη εις γεενναν.
mat|5|30|	και ει η δεξια σου χειρ σκανδαλιζει σε, εκκοψον αυτην και βαλε απο σου συμφερει γαρ σοι ινα αποληται εν των μελων σου και μη ολον το σωμα σου βληθη εις γεενναν.
mat|5|31|	Ερρεθη δε ος αν απολυση την γυναικα αυτου, δοτω αυτη αποστασιον.
mat|5|32|	Εγω δε λεγω υμιν οτι ος αν απολυση την γυναικα αυτου παρεκτος λογου πορνειας, ποιει αυτην μοιχασθαι, και ος εαν απολελυμενην γαμηση, μοιχαται.
mat|5|33|	Παλιν ηκουσατε οτι ερρεθη τοις αρχαιοις, ουκ επιορκησεις, αποδωσεις δε τω Κυριω τους ορκους σου.
mat|5|34|	Εγω δε λεγω υμιν μη ομοσαι ολως μητε εν τω ουρανω, οτι θρονος εστι του Θεου
mat|5|35|	μητε εν τη γη, οτι υποποδιον εστι των ποδων αυτου μητε εις Ιεροσολυμα, οτι πολις εστι του μεγαλου βασιλεως
mat|5|36|	μητε εν τη κεφαλη σου ομοσης, οτι ου δυνασαι μιαν τριχα λευκην η μελαιναν ποιησαι.
mat|5|37|	εστω δε ο λογος υμων ναι ναι, ου ου το δε περισσον τουτων εκ του πονηρου εστιν.
mat|5|38|	Ηκουσατε οτι ερρεθη, οφθαλμον αντι οφθαλμου και οδοντα αντι οδοντος
mat|5|39|	Εγω δε λεγω υμιν μη αντιστηναι τω πονηρω αλλ οστις σε ραπισει επι την δεξιαν σιαγονα, στρεψον αυτω και την αλλην
mat|5|40|	και τω θελοντι σοι κριθηναι και τον χιτωνα σου λαβειν, αφες αυτω και το ιματιον
mat|5|41|	και οστις σε αγγαρευσει μιλιον εν, υπαγε μετ αυτου δυο
mat|5|42|	τω αιτουντι σε διδου και τον θελοντα απο σου δανεισασθαι μη αποστραφης.
mat|5|43|	Ηκουσατε οτι ερρεθη, αγαπησεις τον πλησιον σου και μισησεις τον εχθρον σου.
mat|5|44|	Εγω δε λεγω υμιν, αγαπατε τους εχθρους υμων, ευλογειτε τους καταρωμενους υμας, καλως ποιειτε τοις μισουσιν υμας και προσευχεσθε υπερ των επηρεαζοντων υμας και διωκοντων υμας,
mat|5|45|	οπως γενησθε υιοι του πατρος υμων του εν ουρανοις, οτι τον ηλιον αυτου ανατελλει επι πονηρους και αγαθους και βρεχει επι δικαιους και αδικους.
mat|5|46|	εαν γαρ αγαπησητε τους αγαπωντας υμας, τινα μισθον εχετε? ουχι και οι τελωναι το αυτο ποιουσι?
mat|5|47|	και εαν ασπασησθε τους φιλους υμων μονον, τι περισσον ποιειτε? ουχι και οι τελωναι ουτω ποιουσιν?
mat|5|48|	Εσεσθε ουν υμεις τελειοι, ωσπερ ο πατηρ υμων ο εν τοις ουρανοις τελειος εστιν.
mat|6|1|	Προσεχετε την ελεημοσυνην υμων μη ποιειν εμπροσθεν των ανθρωπων προς το θεαθηναι αυτοις ει δε μηγε, μισθον ουκ εχετε παρα τω πατρι υμων τω εν τοις ουρανοις.
mat|6|2|	Οταν ουν ποιης ελεημοσυνην, μη σαλπισης εμπροσθεν σου, ωσπερ οι υποκριται ποιουσιν εν ταις συναγωγαις και εν ταις ρυμαις, οπως δοξασθωσιν υπο των ανθρωπων αμην λεγω υμιν, απεχουσι τον μισθον αυτων.
mat|6|3|	σου δε ποιουντος ελεημοσυνην μη γνωτω η αριστερα σου τι ποιει η δεξια σου,
mat|6|4|	οπως η σου η ελεημοσυνη εν τω κρυπτω, και ο πατηρ σου ο βλεπων εν τω κρυπτω αποδωσει σοι εν τω φανερω.
mat|6|5|	Και οταν προσευχη, ουκ εση ωσπερ οι υποκριται, οτι φιλουσιν εν ταις συναγωγαις και εν ταις γωνιαις των πλατειων εστωτες προσευχεσθαι, οπως αν φανωσι τοις ανθρωποις αμην λεγω υμιν οτι απεχουσι τον μισθον αυτων.
mat|6|6|	συ δε οταν προσευχη, εισελθε εις το ταμιειον σου, και κλεισας την θυραν σου προσευξαι τω πατρι σου τω εν τω κρυπτω, και ο πατηρ σου ο βλεπων εν τω κρυπτω αποδωσει σοι εν τω φανερω.
mat|6|7|	Προσευχομενοι δε μη βαττολογησητε ωσπερ οι εθνικοι δοκουσι γαρ οτι εν τη πολυλογια αυτων εισακουσθησονται.
mat|6|8|	μη ουν ομοιωθητε αυτοις οιδε γαρ ο πατηρ υμων ων χρειαν εχετε προ του υμας αιτησαι αυτον.
mat|6|9|	Ουτως ουν προσευχεσθε υμεις Πατερ ημων ο εν τοις ουρανοις αγιασθητω το ονομα σου
mat|6|10|	ελθετω η βασιλεια σου γενηθητω το θελημα σου, ως εν ουρανω, και επι της γης
mat|6|11|	τον αρτον ημων τον επιουσιον δος ημιν σημερον
mat|6|12|	και αφες ημιν τα οφειληματα ημων, ως και ημεις αφιεμεν τοις οφειλεταις ημων
mat|6|13|	και μη εισενεγκης ημας εις πειρασμον, αλλα ρυσαι ημας απο του πονηρου. οτι σου εστιν η βασιλεια και η δυναμις και η δοξα εις τους αιωνας αμην.
mat|6|14|	Εαν γαρ αφητε τοις ανθρωποις τα παραπτωματα αυτων, αφησει και υμιν ο πατηρ υμων ο ουρανιος
mat|6|15|	εαν δε μη αφητε τοις ανθρωποις τα παραπτωματα αυτων, ουδε ο πατηρ υμων αφησει τα παραπτωματα υμων.
mat|6|16|	Οταν δε νηστευητε, μη γινεσθε ωσπερ οι υποκριται σκυθρωποι αφανιζουσι γαρ τα προσωπα αυτων οπως φανωσι τοις ανθρωποις νηστευοντες αμην λεγω υμιν οτι απεχουσι τον μισθον αυτων.
mat|6|17|	συ δε νηστευων αλειψαι σου την κεφαλην και το προσωπον σου νιψαι,
mat|6|18|	οπως μη φανης τοις ανθρωποις νηστευων, αλλα τω πατρι σου τω εν τω κρυπτω, και ο πατηρ σου ο βλεπων εν τω κρυπτω αποδωσει σοι εν τω φανερω.
mat|6|19|	Μη θησαυριζετε υμιν θησαυρους επι της γης, οπου σης και βρωσις αφανιζει, και οπου κλεπται διορυσσουσι και κλεπτουσι
mat|6|20|	θησαυριζετε δε υμιν θησαυρους εν ουρανω, οπου ουτε σης ουτε βρωσις αφανιζει, και οπου κλεπται ου διορυσσουσιν ουδε κλεπτουσιν
mat|6|21|	οπου γαρ εστιν ο θησαυρος υμων, εκει εσται και η καρδια υμων.
mat|6|22|	Ο λυχνος του σωματος εστιν ο οφθαλμος εαν ουν ο οφθαλμος σου απλους η, ολον το σωμα σου φωτεινον εσται
mat|6|23|	εαν δε ο οφθαλμος σου πονηρος η, ολον το σωμα σου σκοτεινον εσται. ει ουν το φως το εν σοι σκοτος εστι, το σκοτος ποσον?
mat|6|24|	Ουδεις δυναται δυσι κυριοις δουλευειν η γαρ τον ενα μισησει και τον ετερον αγαπησει, η ενος ανθεξεται και του ετερου καταφρονησει. ου δυνασθε Θεω δουλευειν και μαμωνα.
mat|6|25|	Δια τουτο λεγω υμιν, μη μεριμνατε τη ψυχη υμων τι φαγητε και τι πιητε, μηδε τω σωματι υμων τι ενδυσησθε ουχι η ψυχη πλειον εστι της τροφης και το σωμα του ενδυματος?
mat|6|26|	εμβλεψατε εις τα πετεινα του ουρανου, οτι ου σπειρουσιν ουδε θεριζουσιν ουδε συναγουσιν εις αποθηκας, και ο πατηρ υμων ο ουρανιος τρεφει αυτα ουχ υμεις μαλλον διαφερετε αυτων?
mat|6|27|	τις δε εξ υμων μεριμνων δυναται προσθειναι επι την ηλικιαν αυτου πηχυν ενα?
mat|6|28|	και περι ενδυματος τι μεριμνατε? καταμαθετε τα κρινα του αγρου πως αυξανει ου κοπια ουδε νηθει
mat|6|29|	λεγω δε υμιν οτι ουδε Σολομων εν παση τη δοξη αυτου περιεβαλετο ως εν τουτων.
mat|6|30|	Ει δε τον χορτον του αγρου, σημερον οντα και αυριον εις κλιβανον βαλλομενον, ο Θεος ουτως αμφιεννυσιν, ου πολλω μαλλον υμας, ολιγοπιστοι?
