mat|1|1|	biblos geneseōs iēsou christou, uiou dauid uiou abraam.
mat|2|1|	tou de iēsou gennēthentos en bēthleem tēs ioudaias en ēmerais ērōdou tou basileōs, idou magoi apo anatolōn paregenonto eis ierosoluma
mat|2|2|	legontes pou estin o techtheis basileus tōn ioudaiōn? eidomen gar autou ton astera en tē anatolē kai ēlthomen proskunēsai autō.
mat|2|3|	akousas de ērōdēs o basileus etarachthē kai pasa ierosoluma met autou,
mat|2|4|	kai sunagagōn pantas tous archiereis kai grammateis tou laou epunthaneto par autōn pou o christos gennatai.
mat|2|5|	oi de eipon autō en bēthleem tēs ioudaias outō gar gegraptai dia tou prophētou
mat|2|6|	kai su bēthleem, gē iouda, oudamōs elachistē ei en tois ēgemosin iouda ek sou gar exeleusetai ēgoumenos, ostis poimanei ton laon mou ton israēl.
mat|2|7|	tote ērōdēs lathra kalesas tous magous ēkribōse par autōn ton chronon tou phainomenou asteros,
mat|2|8|	kai pempsas autous eis bēthleem eipe poreuthentes akribōs exetasate peri tou paidiou, epan de eurēte, apaggeilate moi, opōs kagō elthōn proskunēsō autō.
mat|2|9|	oi de akousantes tou basileōs eporeuthēsan kai idou o astēr on eidon en tē anatolē proēgen autous, eōs elthōn estē epanō ou ēn to paidion
mat|2|10|	idontes de ton astera echarēsan charan megalēn sphodra,
mat|2|11|	kai elthontes eis tēn oikian eidon to paidion meta marias tēs mētros autou, kai pesontes prosekunēsan autō, kai anoixantes tous thēsaurous autōn prosēnegkan autō dōra, chruson kai libanon kai smurnan
mat|2|12|	kai chrēmatisthentes kat onar mē anakampsai pros ērōdēn, di allēs odou anechōrēsan eis tēn chōran autōn.
mat|2|13|	anachōrēsantōn de autōn idou aggelos kuriou phainetai kat onar tō iōsēph legōn egertheis paralabe to paidion kai tēn mētera autou kai pheuge eis aigupton, kai isthi ekei eōs an eipō soi mellei gar ērōdēs zētein to paidion tou apolesai auto.
mat|2|14|	o de egertheis parelabe to paidion kai tēn mētera autou nuktos kai anechōrēsen eis aigupton,
mat|2|15|	kai ēn ekei eōs tēs teleutēs ērōdou, ina plērōthē to rēthen upo tou kuriou dia tou prophētou legontos ex aiguptou ekalesa ton uion mou.
mat|2|16|	tote ērōdēs idōn oti enepaichthē upo tōn magōn, ethumōthē lian, kai aposteilas aneile pantas tous paidas tous en bēthleem kai en pasi tois oriois autēs apo dietous kai katōterō, kata ton chronon on ēkribōse para tōn magōn.
mat|2|17|	tote eplērōthē to rēthen upo ieremiou tou prophētou legontos
mat|2|18|	phōnē en rama ēkousthē, thrēnos kai klauthmos kai odurmos polus rachēl klaiousa ta tekna autēs, kai ouk ēthele paraklēthēnai, oti ouk eisin.
mat|2|19|	teleutēsantos de tou ērōdou idou aggelos kuriou kat onar phainetai tō iōsēph en aiguptō
mat|2|20|	legōn egertheis paralabe to paidion kai tēn mētera autou kai poreuou eis gēn israēl tethnēkasi gar oi zētountes tēn psuchēn tou paidiou.
mat|2|21|	o de egertheis parelabe to paidion kai tēn mētera autou kai ēlthen eis gēn israēl.
mat|2|22|	akousas de oti archelaos basileuei epi tēs ioudaias anti ērōdou tou patros autou, ephobēthē ekei apelthein chrēmatistheis de kat onar anechōrēsen eis ta merē tēs galilaias,
mat|2|23|	kai elthōn katōkēsen eis polin legomenēn nazaret, opōs plērōthē to rēthen dia tōn prophētōn oti nazōraios klēthēsetai.
mat|3|1|	en de tais ēmerais ekeinais paraginetai iōannēs o baptistēs kērussōn en tē erēmō tēs ioudaias
mat|3|2|	kai legōn metanoeite ēggike gar ē basileia tōn ouranōn.
mat|3|3|	outos gar estin o rētheis upo ēsaiou tou prophētou legontos phōnē boōntos en tē erēmō, etoimasate tēn odon kuriou, eutheias poieite tas tribous autou.
mat|3|4|	autos de o iōannēs eiche to enduma autou apo trichōn kamēlou kai zōnēn dermatinēn peri tēn osphun autou, ē de trophē autou ēn akrides kai meli agrion.
mat|3|5|	tote exeporeueto pros auton ierosoluma kai pasa ē ioudaia kai pasa ē perichōros tou iordanou,
mat|3|6|	kai ebaptizonto en tō iordanē up autou exomologoumenoi tas amartias autōn.
mat|3|7|	idōn de pollous tōn pharisaiōn kai saddoukaiōn erchomenous epi to baptisma autou eipen autois gennēmata echidnōn, tis upedeixen umin phugein apo tēs mellousēs orgēs?
mat|3|8|	poiēsate oun karpon axion tēs metanoias,
mat|3|9|	kai mē doxēte legein en eautois, patera echomen ton abraam legō gar umin oti dunatai o theos ek tōn lithōn toutōn egeirai tekna tō abraam.
mat|3|10|	ēdē de kai ē axinē pros tēn rizan tōn dendrōn keitai pan oun dendron mē poioun karpon kalon ekkoptetai kai eis pur balletai.
mat|3|11|	egō men baptizō umas en udati eis metanoian o de opisō mou erchomenos ischuroteros mou estin, ou ouk eimi ikanos ta upodēmata bastasai autos umas baptisei en pneumati agiō kai puri.
mat|3|12|	ou to ptuon en tē cheiri autou kai diakathariei tēn alōna autou, kai sunaxei ton siton autou eis tēn apothēkēn, to de achuron katakausei puri asbestō.
mat|3|13|	tote paraginetai o iēsous apo tēs galilaias epi ton iordanēn pros ton iōannēn tou baptisthēnai up autou.
mat|3|14|	o de iōannēs diekōluen auton legōn egō chreian echō upo sou baptisthēnai, kai su erchē pros me?
mat|3|15|	apokritheis de o iēsous eipe pros auton aphes arti outō gar prepon estin ēmin plērōsai pasan dikaiosunēn. tote aphiēsin auton
mat|3|16|	kai baptistheis o iēsous anebē euthus apo tou udatos kai idou aneōchthēsan autō oi ouranoi, kai eide to pneuma tou theou katabainon ōsei peristeran kai erchomenon ep auton
mat|3|17|	kai idou phōnē ek tōn ouranōn legousa outos estin o uios mou o agapētos, en ō eudokēsa.
mat|4|1|	tote o iēsous anēchthē eis tēn erēmon upo tou pneumatos peirasthēnai upo tou diabolou,
mat|4|2|	kai nēsteusas ēmeras tessarakonta kai nuktas tessarakonta usteron epeinase.
mat|4|3|	kai proselthōn autō o peirazōn eipen ei uios ei tou theou, eipe ina oi lithoi outoi artoi genōntai.
mat|4|4|	o de apokritheis eipe gegraptai, ouk ep artō monō zēsetai anthrōpos, all epi panti rēmati ekporeuomenō dia stomatos theou.
mat|4|5|	tote paralambanei auton o diabolos eis tēn agian polin, kai istēsin auton epi to pterugion tou ierou
mat|4|6|	kai legei autō ei uios ei tou theou, bale seauton katō gegraptai gar oti tois aggelois autou enteleitai peri sou, kai epi cheirōn arousi se, mēpote proskopsēs pros lithon ton poda sou.
mat|4|7|	ephē autō o iēsous palin gegraptai, ouk ekpeiraseis kurion ton theon sou.
mat|4|8|	palin paralambanei auton o diabolos eis oros upsēlon lian, kai deiknusin autō pasas tas basileias tou kosmou kai tēn doxan autōn
mat|4|9|	kai legei autō tauta panta soi dōsō, ean pesōn proskunēsēs moi.
mat|4|10|	tote legei autō o iēsous upage opisō mou, satana gegraptai gar, kurion ton theon sou proskunēseis kai autō monō latreuseis.
mat|4|11|	tote aphiēsin auton o diabolos, kai idou aggeloi prosēlthon kai diēkonoun autō.
mat|4|12|	akousas de o iēsous oti iōannēs paredothē, anechōrēsen eis tēn galilaian,
mat|4|13|	kai katalipōn tēn nazaret elthōn katōkēsen eis kapernaoum tēn parathalassian en oriois zaboulōn kai nephthaleim,
mat|4|14|	ina plērōthē to rēthen dia ēsaiou tou prophētou legontos
mat|4|15|	gē zaboulōn kai gē nephthaleim, odon thalassēs, peran tou iordanou, galilaia tōn ethnōn,
mat|4|16|	o laos o kathēmenos en skotei eide phōs mega, kai tois kathēmenois en chōra kai skia thanatou phōs aneteilen autois.
mat|4|17|	apo tote ērxato o iēsous kērussein kai legein metanoeite ēggike gar ē basileia tōn ouranōn.
mat|4|18|	peripatōn de para tēn thalassan tēs galilaias eide duo adelphous, simōna ton legomenon petron kai andrean ton adelphon autou, ballontas amphiblēstron eis tēn thalassan ēsan gar alieis
mat|4|19|	kai legei autois deute opisō mou kai poiēsō umas alieis anthrōpōn.
mat|4|20|	oi de eutheōs aphentes ta diktua ēkolouthēsan autō.
mat|4|21|	kai probas ekeithen eiden allous duo adelphous, iakōbon ton tou zebedaiou kai iōannēn ton adelphon autou, en tō ploiō meta zebedaiou tou patros autōn katartizontas ta diktua autōn, kai ekalesen autous.
mat|4|22|	oi de eutheōs aphentes to ploion kai ton patera autōn ēkolouthēsan autō.
mat|4|23|	kai periēgen olēn tēn galilaian o iēsous didaskōn en tais sunagōgais autōn kai kērussōn to euaggelion tēs basileias kai therapeuōn pasan noson kai pasan malakian en tō laō.
mat|4|24|	kai apēlthen ē akoē autou eis olēn tēn surian, kai prosēnegkan autō pantas tous kakōs echontas poikilais nosois kai basanois sunechomenous, kai daimonizomenous kai selēniazomenous kai paralutikous, kai etherapeusen autous
mat|4|25|	kai ēkolouthēsan autō ochloi polloi apo tēs galilaias kai dekapoleōs kai ierosolumōn kai ioudaias kai peran tou iordanou.
mat|5|1|	idōn de tous ochlous anebē eis to oros, kai kathisantos autou prosēlthon autō oi mathētai autou,
mat|5|2|	kai anoixas to stoma autou edidasken autous legōn
mat|5|3|	makarioi oi ptōchoi tō pneumati, oti autōn estin ē basileia tōn ouranōn.
mat|5|4|	makarioi oi penthountes, oti autoi paraklēthēsontai.
mat|5|5|	makarioi oi praeis, oti autoi klēronomēsousi tēn gēn.
mat|5|6|	makarioi oi peinōntes kai dipsōntes tēn dikaiosunēn, oti autoi chortasthēsontai.
mat|5|7|	makarioi oi eleēmones, oti autoi eleēthēsontai.
mat|5|8|	makarioi oi katharoi tē kardia, oti autoi ton theon opsontai.
mat|5|9|	makarioi oi eirēnopoioi, oti autoi uioi theou klēthēsontai.
mat|5|10|	makarioi oi dediōgmenoi eneken dikaiosunēs, oti autōn estin ē basileia tōn ouranōn.
mat|5|11|	makarioi este otan oneidisōsin umas kai diōxōsi kai eipōsi pan ponēron rēma kath umōn pseudomenoi eneken emou.
mat|5|12|	chairete kai agalliasthe, oti o misthos umōn polus en tois ouranois outō gar ediōxan tous prophētas tous pro umōn.
mat|5|13|	umeis este to alas tēs gēs ean de to alas mōranthē, en tini alisthēsetai? eis ouden ischuei eti ei mē blēthēnai exō kai katapateisthai upo tōn anthrōpōn.
mat|5|14|	umeis este to phōs tou kosmou. ou dunatai polis krubēnai epanō orous keimenē
mat|5|15|	oude kaiousi luchnon kai titheasi auton upo ton modion, all epi tēn luchnian, kai lampei pasi tois en tē oikia.
mat|5|16|	outō lampsatō to phōs umōn emprosthen tōn anthrōpōn, opōs idōsin umōn ta kala erga kai doxasōsi ton patera umōn ton en tois ouranois.
mat|5|17|	mē nomisēte oti ēlthon katalusai ton nomon ē tous prophētas ouk ēlthon katalusai, alla plērōsai.
mat|5|18|	amēn gar legō umin, eōs an parelthē o ouranos kai ē gē, iōta en ē mia keraia ou mē parelthē apo tou nomou eōs an panta genētai.
mat|5|19|	os ean oun lusē mian tōn entolōn toutōn tōn elachistōn kai didaxē outō tous anthrōpous, elachistos klēthēsetai en tē basileia tōn ouranōn os d an poiēsē kai didaxē, outos megas klēthēsetai en tē basileia tōn ouranōn.
mat|5|20|	legō gar umin oti ean mē perisseusē ē dikaiosunē umōn pleion tōn grammateōn kai pharisaiōn, ou mē eiselthēte eis tēn basileian tōn ouranōn.
mat|5|21|	ēkousate oti errethē tois archaiois, ou phoneuseis os d an phoneusē, enochos estai tē krisei.
mat|5|22|	egō de legō umin oti pas o orgizomenos tō adelphō autou eikē enochos estai tē krisei os d an eipē tō adelphō autou raka, enochos estai tō sunedriō os d an eipē mōre, enochos estai eis tēn geennan tou puros.
mat|5|23|	ean oun prospherēs to dōron sou epi to thusiastērion kakei mnēsthēs oti o adelphos sou echei ti kata sou,
mat|5|24|	aphes ekei to dōron sou emprosthen tou thusiastēriou, kai upage prōton diallagēthi tō adelphō sou, kai tote elthōn prosphere to dōron sou.
mat|5|25|	isthi eunoōn tō antidikō sou tachu eōs otou ei en tē odō met autou, mēpote se paradō o antidikos tō kritē kai o kritēs se paradō tō upēretē, kai eis phulakēn blēthēsē
mat|5|26|	amēn legō soi, ou mē exelthēs ekeithen eōs ou apodōs ton eschaton kodrantēn.
mat|5|27|	ēkousate oti errethē tois archaiois, ou moicheuseis.
mat|5|28|	egō de legō umin oti pas o blepōn gunaika pros to epithumēsai autēn ēdē emoicheusen autēn en tē kardia autou.
mat|5|29|	ei de o ophthalmos sou o dexios skandalizei se, exele auton kai bale apo sou sumpherei gar soi ina apolētai en tōn melōn sou kai mē olon to sōma sou blēthē eis geennan.
mat|5|30|	kai ei ē dexia sou cheir skandalizei se, ekkopson autēn kai bale apo sou sumpherei gar soi ina apolētai en tōn melōn sou kai mē olon to sōma sou blēthē eis geennan.
mat|5|31|	errethē de os an apolusē tēn gunaika autou, dotō autē apostasion.
mat|5|32|	egō de legō umin oti os an apolusē tēn gunaika autou parektos logou porneias, poiei autēn moichasthai, kai os ean apolelumenēn gamēsē, moichatai.
mat|5|33|	palin ēkousate oti errethē tois archaiois, ouk epiorkēseis, apodōseis de tō kuriō tous orkous sou.
mat|5|34|	egō de legō umin mē omosai olōs mēte en tō ouranō, oti thronos esti tou theou
mat|5|35|	mēte en tē gē, oti upopodion esti tōn podōn autou mēte eis ierosoluma, oti polis esti tou megalou basileōs
mat|5|36|	mēte en tē kephalē sou omosēs, oti ou dunasai mian tricha leukēn ē melainan poiēsai.
mat|5|37|	estō de o logos umōn nai nai, ou ou to de perisson toutōn ek tou ponērou estin.
mat|5|38|	ēkousate oti errethē, ophthalmon anti ophthalmou kai odonta anti odontos
mat|5|39|	egō de legō umin mē antistēnai tō ponērō all ostis se rapisei epi tēn dexian siagona, strepson autō kai tēn allēn
mat|5|40|	kai tō thelonti soi krithēnai kai ton chitōna sou labein, aphes autō kai to imation
mat|5|41|	kai ostis se aggareusei milion en, upage met autou duo
mat|5|42|	tō aitounti se didou kai ton thelonta apo sou daneisasthai mē apostraphēs.
mat|5|43|	ēkousate oti errethē, agapēseis ton plēsion sou kai misēseis ton echthron sou.
mat|5|44|	egō de legō umin, agapate tous echthrous umōn, eulogeite tous katarōmenous umas, kalōs poieite tois misousin umas kai proseuchesthe uper tōn epēreazontōn umas kai diōkontōn umas,
mat|5|45|	opōs genēsthe uioi tou patros umōn tou en ouranois, oti ton ēlion autou anatellei epi ponērous kai agathous kai brechei epi dikaious kai adikous.
mat|5|46|	ean gar agapēsēte tous agapōntas umas, tina misthon echete? ouchi kai oi telōnai to auto poiousi?
mat|5|47|	kai ean aspasēsthe tous philous umōn monon, ti perisson poieite? ouchi kai oi telōnai outō poiousin?
mat|5|48|	esesthe oun umeis teleioi, ōsper o patēr umōn o en tois ouranois teleios estin.
mat|6|1|	prosechete tēn eleēmosunēn umōn mē poiein emprosthen tōn anthrōpōn pros to theathēnai autois ei de mēge, misthon ouk echete para tō patri umōn tō en tois ouranois.
mat|6|2|	otan oun poiēs eleēmosunēn, mē salpisēs emprosthen sou, ōsper oi upokritai poiousin en tais sunagōgais kai en tais rumais, opōs doxasthōsin upo tōn anthrōpōn amēn legō umin, apechousi ton misthon autōn.
mat|6|3|	sou de poiountos eleēmosunēn mē gnōtō ē aristera sou ti poiei ē dexia sou,
mat|6|4|	opōs ē sou ē eleēmosunē en tō kruptō, kai o patēr sou o blepōn en tō kruptō apodōsei soi en tō phanerō.
mat|6|5|	kai otan proseuchē, ouk esē ōsper oi upokritai, oti philousin en tais sunagōgais kai en tais gōniais tōn plateiōn estōtes proseuchesthai, opōs an phanōsi tois anthrōpois amēn legō umin oti apechousi ton misthon autōn.
mat|6|6|	su de otan proseuchē, eiselthe eis to tamieion sou, kai kleisas tēn thuran sou proseuxai tō patri sou tō en tō kruptō, kai o patēr sou o blepōn en tō kruptō apodōsei soi en tō phanerō.
mat|6|7|	proseuchomenoi de mē battologēsēte ōsper oi ethnikoi dokousi gar oti en tē polulogia autōn eisakousthēsontai.
mat|6|8|	mē oun omoiōthēte autois oide gar o patēr umōn ōn chreian echete pro tou umas aitēsai auton.
mat|6|9|	outōs oun proseuchesthe umeis pater ēmōn o en tois ouranois agiasthētō to onoma sou
mat|6|10|	elthetō ē basileia sou genēthētō to thelēma sou, ōs en ouranō, kai epi tēs gēs
mat|6|11|	ton arton ēmōn ton epiousion dos ēmin sēmeron
mat|6|12|	kai aphes ēmin ta opheilēmata ēmōn, ōs kai ēmeis aphiemen tois opheiletais ēmōn
mat|6|13|	kai mē eisenegkēs ēmas eis peirasmon, alla rusai ēmas apo tou ponērou. oti sou estin ē basileia kai ē dunamis kai ē doxa eis tous aiōnas amēn.
mat|6|14|	ean gar aphēte tois anthrōpois ta paraptōmata autōn, aphēsei kai umin o patēr umōn o ouranios
mat|6|15|	ean de mē aphēte tois anthrōpois ta paraptōmata autōn, oude o patēr umōn aphēsei ta paraptōmata umōn.
mat|6|16|	otan de nēsteuēte, mē ginesthe ōsper oi upokritai skuthrōpoi aphanizousi gar ta prosōpa autōn opōs phanōsi tois anthrōpois nēsteuontes amēn legō umin oti apechousi ton misthon autōn.
mat|6|17|	su de nēsteuōn aleipsai sou tēn kephalēn kai to prosōpon sou nipsai,
mat|6|18|	opōs mē phanēs tois anthrōpois nēsteuōn, alla tō patri sou tō en tō kruptō, kai o patēr sou o blepōn en tō kruptō apodōsei soi en tō phanerō.
mat|6|19|	mē thēsaurizete umin thēsaurous epi tēs gēs, opou sēs kai brōsis aphanizei, kai opou kleptai diorussousi kai kleptousi
mat|6|20|	thēsaurizete de umin thēsaurous en ouranō, opou oute sēs oute brōsis aphanizei, kai opou kleptai ou diorussousin oude kleptousin
mat|6|21|	opou gar estin o thēsauros umōn, ekei estai kai ē kardia umōn.
mat|6|22|	o luchnos tou sōmatos estin o ophthalmos ean oun o ophthalmos sou aplous ē, olon to sōma sou phōteinon estai
mat|6|23|	ean de o ophthalmos sou ponēros ē, olon to sōma sou skoteinon estai. ei oun to phōs to en soi skotos esti, to skotos poson?
mat|6|24|	oudeis dunatai dusi kuriois douleuein ē gar ton ena misēsei kai ton eteron agapēsei, ē enos anthexetai kai tou eterou kataphronēsei. ou dunasthe theō douleuein kai mamōna.
mat|6|25|	dia touto legō umin, mē merimnate tē psuchē umōn ti phagēte kai ti piēte, mēde tō sōmati umōn ti endusēsthe ouchi ē psuchē pleion esti tēs trophēs kai to sōma tou endumatos?
mat|6|26|	emblepsate eis ta peteina tou ouranou, oti ou speirousin oude therizousin oude sunagousin eis apothēkas, kai o patēr umōn o ouranios trephei auta ouch umeis mallon diapherete autōn?
mat|6|27|	tis de ex umōn merimnōn dunatai prostheinai epi tēn ēlikian autou pēchun ena?
mat|6|28|	kai peri endumatos ti merimnate? katamathete ta krina tou agrou pōs auxanei ou kopia oude nēthei
mat|6|29|	legō de umin oti oude solomōn en pasē tē doxē autou periebaleto ōs en toutōn.
mat|6|30|	ei de ton chorton tou agrou, sēmeron onta kai aurion eis klibanon ballomenon, o theos outōs amphiennusin, ou pollō mallon umas, oligopistoi?
mat|6|31|	mē oun merimnēsēte legontes, ti phagōmen ē ti piōmen ē ti peribalōmetha?
mat|6|32|	panta gar tauta ta ethnē epizētei oide gar o patēr umōn o ouranios oti chrēzete toutōn apantōn.
mat|6|33|	zēteite de prōton tēn basileian tou theou kai tēn dikaiosunēn autou, kai tauta panta prostethēsetai umin.
mat|6|34|	mē oun merimnēsēte eis tēn aurion ē gar aurion merimnēsei ta eautēs arketon tē ēmera ē kakia autēs.
mat|7|1|	mē krinete, ina mē krithēte
mat|7|2|	en ō gar krimati krinete krithēsesthe, kai en ō metrō metreite metrēthēsetai umin.
mat|7|3|	ti de blepeis to karphos to en tō ophthalmō tou adelphou sou, tēn de en tō sō ophthalmō dokon ou katanoeis?
mat|7|4|	ē pōs ereis tō adelphō sou, aphes ekbalō to karphos apo tou ophthalmou sou, kai idou ē dokos en tō ophthalmō sou?
mat|7|5|	upokrita, ekbale prōton tēn dokon ek tou ophthalmou sou, kai tote diablepseis ekbalein to karphos ek tou ophthalmou tou adelphou sou.
mat|7|6|	mē dōte to agion tois kusi mēde balēte tous margaritas umōn emprosthen tōn choirōn, mēpote katapatēsōsin autous en tois posin autōn kai straphentes rēxōsin umas.
mat|7|7|	aiteite, kai dothēsetai umin, zēteite, kai eurēsete, krouete, kai anoigēsetai umin
mat|7|8|	pas gar o aitōn lambanei kai o zētōn euriskei kai tō krouonti anoigēsetai.
mat|7|9|	ē tis estin ex umōn anthrōpos, on ean aitēsē o uios autou arton, mē lithon epidōsei autō?
mat|7|10|	kai ean ichthun aitēsē, mē ophin epidōsei autō?
mat|7|11|	ei oun umeis, ponēroi ontes, oidate domata agatha didonai tois teknois umōn, posō mallon o patēr umōn o en tois ouranois dōsei agatha tois aitousin auton?
mat|7|12|	panta oun osa an thelēte ina poiōsin umin oi anthrōpoi, outō kai umeis poieite autois outos gar estin o nomos kai oi prophētai.
mat|7|13|	eiselthete dia tēs stenēs pulēs oti plateia ē pulē kai euruchōros ē odos ē apagousa eis tēn apōleian, kai polloi eisin oi eiserchomenoi di autēs.
mat|7|14|	ti stenē ē pulē kai tethlimmenē ē odos ē apagousa eis tēn zōēn, kai oligoi eisin oi euriskontes autēn!
mat|7|15|	prosechete de apo tōn pseudoprophētōn, oitines erchontai pros umas en endumasi probatōn, esōthen de eisi lukoi arpages.
mat|7|16|	apo tōn karpōn autōn epignōsesthe autous. mēti sullegousin apo akanthōn staphulēn ē apo tribolōn suka?
mat|7|17|	outō pan dendron agathon karpous kalous poiei, to de sapron dendron karpous ponērous poiei.
mat|7|18|	ou dunatai dendron agathon karpous ponērous poiein, oude dendron sapron karpous kalous poiein.
mat|7|19|	pan dendron mē poioun karpon kalon ekkoptetai kai eis pur balletai.
mat|7|20|	arage apo tōn karpōn autōn epignōsesthe autous.
mat|7|21|	ou pas o legōn moi kurie kurie, eiseleusetai eis tēn basileian tōn ouranōn, all o poiōn to thelēma tou patros mou tou en ouranois.
mat|7|22|	polloi erousi moi en ekeinē tē ēmera kurie kurie, ou tō sō onomati proephēteusamen, kai tō sō onomati daimonia exebalomen, kai tō sō onomati dunameis pollas epoiēsamen?
mat|7|23|	kai tote omologēsō autois oti oudepote egnōn umas apochōreite ap emou oi ergazomenoi tēn anomian.
mat|7|24|	pas oun ostis akouei mou tous logous toutous kai poiei autous, omoiōsō auton andri phronimō, ostis ōkodomēse tēn oikian autou epi tēn petran
mat|7|25|	kai katebē ē brochē kai ēlthon oi potamoi kai epneusan oi anemoi kai prosepeson tē oikia ekeinē, kai ouk epese tethemeliōto gar epi tēn petran.
mat|7|26|	kai pas o akouōn mou tous logous toutous kai mē poiōn autous omoiōthēsetai andri mōrō, ostis ōkodomēse tēn oikian autou epi tēn ammon
mat|7|27|	kai katebē ē brochē kai ēlthon oi potamoi kai epneusan oi anemoi kai prosekopsan tē oikia ekeinē, kai epese, kai ēn ē ptōsis autēs megalē.
mat|7|28|	kai egeneto ote sunetelesen o iēsous tous logous toutous, exeplēssonto oi ochloi epi tē didachē autou
mat|7|29|	ēn gar didaskōn autous ōs exousian echōn, kai ouch ōs oi grammateis.
mat|8|1|	katabanti de autō apo tou orous ēkolouthēsan autō ochloi polloi.
mat|8|2|	kai idou lepros elthōn prosekunei autō legōn kurie, ean thelēs, dunasai me katharisai.
mat|8|3|	kai ekteinas tēn cheira ēpsato autou o iēsous legōn thelō, katharisthēti. kai eutheōs ekatharisthē autou ē lepra.
mat|8|4|	kai legei autō o iēsous ora mēdeni eipēs, alla upage seauton deixon tō ierei kai prosenegke to dōron o prosetaxe mōsēs eis marturion autois.
mat|8|5|	eiselthonti de autō eis kapernaoum prosēlthen autō ekatontarchos parakalōn auton kai legōn
mat|8|6|	kurie, o pais mou beblētai en tē oikia paralutikos, deinōs basanizomenos.
mat|8|7|	kai legei autō o iēsous egō elthōn therapeusō auton.
mat|8|8|	kai apokritheis o ekatontarchos ephē kurie, ouk eimi ikanos ina mou upo tēn stegēn eiselthēs alla monon eipe logō, kai iathēsetai o pais mou.
mat|8|9|	kai gar egō anthrōpos eimi upo exousian, echōn up emauton stratiōtas, kai legō toutō, poreuthēti, kai poreuetai, kai allō, erchou, kai erchetai, kai tō doulō mou, poiēson touto, kai poiei.
mat|8|10|	akousas de o iēsous ethaumase kai eipe tois akolouthousin amēn legō umin, oude en tō israēl tosautēn pistin euron.
mat|8|11|	legō de umin oti polloi apo anatolōn kai dusmōn ēxousi kai anaklithēsontai meta abraam kai isaak kai iakōb en tē basileia tōn ouranōn,
mat|8|12|	oi de uioi tēs basileias ekblēthēsontai eis to skotos to exōteron ekei estai o klauthmos kai o brugmos tōn odontōn.
mat|8|13|	kai eipen o iēsous tō ekatontarchō upage, kai ōs episteusas genēthētō soi. kai iathē o pais autou en tē ōra ekeinē.
